view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,task_type,session_file_id
"[{'page_index': 0, 'viewing_time': 3284}]",3284,instructions,0,3287,0.0-0.0,anon_subject_285,659f04805339f753c1b65235,65a03ef5ee5c94479846d5af,0.06914232995603098,instructions,session-65a04185c5cb4
"[{'page_index': 0, 'viewing_time': 9156}]",9156,instructions,0,9157,0.0-0.0,anon_subject_30,659f04805339f753c1b65235,65a0471539341d75b93cf885,0.7930852442032413,instructions,session-65a04795a47b9
"[{'page_index': 0, 'viewing_time': 14719}]",14719,instructions,0,14722,0.0-0.0,anon_subject_146,659f04805339f753c1b65235,65a047892086d07cc8439b7d,0.6874473965112899,instructions,session-65a0480f36680
"[{'page_index': 0, 'viewing_time': 4623}]",4623,instructions,0,4632,0.0-0.0,anon_subject_42,659f04805339f753c1b65235,65a0479e591c52695cdbe8c1,0.4290670587524601,instructions,session-65a0480f911e6
"[{'page_index': 0, 'viewing_time': 18309}]",18311,instructions,0,18326,0.0-0.0,anon_subject_28,659f04805339f753c1b65235,65a05a6f2bb7751b509056c3,0.23192453619459075,instructions,session-65a05b470364e
"[{'page_index': 0, 'viewing_time': 24347}]",24347,instructions,0,24350,0.0-0.0,anon_subject_48,659f04805339f753c1b65235,65a05a84c58774cde45fed65,0.419133092128984,instructions,session-65a05b7603cc7
"[{'page_index': 0, 'viewing_time': 28887}]",28888,instructions,0,28894,0.0-0.0,anon_subject_75,659f04805339f753c1b65235,65a0478029b65b56eb97c721,0.27540834490166843,instructions,session-65a04919e5681
"[{'page_index': 0, 'viewing_time': 14724}]",14724,instructions,0,14728,0.0-0.0,anon_subject_51,659f04805339f753c1b65235,65a03fae15177d3861dbe570,0.37630558641665357,instructions,session-65a04040ce87a
"[{'page_index': 0, 'viewing_time': 3008}]",3009,instructions,0,3012,0.0-0.0,anon_subject_192,659f04805339f753c1b65235,65a02a8b15177d3861dbe02e,0.7261492057711199,instructions,session-65a02c23dc123
"[{'page_index': 0, 'viewing_time': 9046}]",9046,instructions,0,9046,0.0-0.0,anon_subject_69,659f04805339f753c1b65235,65a0471c5068c51fec46d7ee,0.492064134132981,instructions,session-65a047aba18b0
"[{'page_index': 0, 'viewing_time': 8587}]",8588,instructions,0,8600,0.0-0.0,anon_subject_149,659f04805339f753c1b65235,65a0473a461451c85ed4f43e,0.9785815176210615,instructions,session-65a0479944049
"[{'page_index': 0, 'viewing_time': 16925}]",16925,instructions,0,16927,0.0-0.0,anon_subject_122,659f04805339f753c1b65235,65a03fd56bac4df6251b8e9a,0.2970422426465522,instructions,session-65a0405d43889
"[{'page_index': 0, 'viewing_time': 17003}]",17003,instructions,0,17006,0.0-0.0,anon_subject_260,659f04805339f753c1b65235,65a05a7e0f99dc411697c9da,0.41642503139060016,instructions,session-65a05ae85fd46
"[{'page_index': 0, 'viewing_time': 19113}]",19113,instructions,0,19115,0.0-0.0,anon_subject_18,659f04805339f753c1b65235,65a03fde5747bb3166d4efa7,0.22086302821812365,instructions,session-65a0406e32d44
